185,2009,579
186,2009,796
187,2011,17
188,2014,1758
189,2017,941
190,2018,518
191,2018,563
192,2019,26
193,2023,255
194,2025,94
195,2026,10
196,2030,50
197,2031,163
198,2032,81
199,2033,33
200,2036,33
201,2037,50
202,2044,218
203,2045,133
204,2047,103
205,2051,32
206,2052,153
207,2054,24
208,2056,82
209,2064,888
210,2064,30
211,2065,81
212,2065,106
213,2066,0
214,2067,767
215,2069,31
216,2070,63
217,2075,200
218,2132,67
219,2132,89
220,2133,262
221,2135,57
222,2138,328
223,2141,40
224,2141,25
225,2141,822
226,2142,234
227,2146,331
228,2149,430
229,2151,278
230,2151,42
231,2154,14
232,2155,98
233,2155,215
234,2157,211
235,2158,3
236,2159,59
237,2160,21
238,2160,62
239,2162,717
240,2165,1358
241,2166,62
242,2166,56
243,2168,413
244,2169,95
245,2169,455
246,2180,96
247,2182,193
248,2183,57
249,2184,1237
250,2185,259
251,2186,376
252,2187,73
253,2189,108
254,2192,58
255,2194,375
256,2200,38
257,2201,88
258,2202,110
259,2205,74
260,2206,116
261,2207,70
262,2209,46
263,2210,560
264,2210,27
265,2211,90
266,2213,2
267,2214,222
268,2216,154
269,2218,23
270,2219,841
271,2221,206
272,2227,35
273,2229,43
274,2231,72
275,2231,582
276,2239,309
277,2241,53
278,2243,307
279,2246,9
280,2248,51
281,2249,104
282,2253,196
283,2261,69
284,2261,97
285,2268,51
286,2271,286
287,2271,30
288,2272,67
289,2276,868
290,2280,38
291,2282,398
292,2283,703
293,2283,57
294,2285,74
295,2286,545
296,2293,25
297,2294,50
298,2294,285
299,2295,105
300,2298,52
301,2299,469
302,2300,128
303,2301,30
304,2303,765
305,2305,68
306,2305,31
307,2306,82
308,2309,166
309,2324,16
310,2327,98
311,2327,110
312,2327,169
313,2332,349
314,2332,312
315,2333,120
316,2333,41
317,2333,87
318,2333,129
319,2334,1359
320,2336,19
321,2337,348
322,2337,2328
323,2339,72
324,2343,20
325,2346,37
326,2347,42530
327,2348,219
328,2349,256
329,2350,88
330,2355,8
331,2358,9
332,2358,35
333,2360,119
334,2365,102
335,2365,89
336,2365,25
337,2370,18
338,2371,23
339,2372,176
340,2372,111
341,2376,508
342,2377,179
343,2378,114
344,2382,873
345,2383,11
346,2383,4
347,2384,35
348,2386,72
349,2389,12
350,2394,18
351,2395,28
352,2397,279
353,2397,147
354,2399,108
355,2402,41
356,2406,20
357,2407,73
358,2409,298
359,2411,10
360,2419,30
361,2421,26
362,2425,1090
363,2426,202
364,2427,1322
365,2430,84
366,2431,84
367,2433,187
368,2435,117
369,2436,111
370,2436,240
371,2438,31
372,2439,439
373,2441,271
374,2443,39
375,2445,81
376,2445,40
377,2446,151
378,2450,218
379,2452,86
380,2458,24
381,2459,202
382,2460,91
383,2462,491
384,2463,81
385,2463,34
386,2466,43
387,2470,16
388,2472,117
389,2472,71
390,2477,38
391,2478,120
392,2478,508
393,2480,43
394,2482,548
395,2483,3829
396,2485,491
397,2487,111
398,2488,977
399,2489,754
400,2491,77
401,2497,88
402,2500,44
403,2500,44
404,2503,2731
405,2506,220
406,2508,493
407,2509,49
408,2513,405
409,2514,102
410,2519,77
411,2522,416
412,2524,103
413,2526,123
414,2527,35
415,2527,118
416,2528,335
417,2532,83
418,2532,629
419,2537,488
420,2537,597
421,2543,405
422,2546,21
423,2546,133
424,2548,496
425,2549,214
426,2549,28
427,2550,127
428,2560,190
429,2563,3
430,2571,981
431,2578,255
432,2578,83
433,2578,1768
434,2578,1224
435,2581,43
436,2582,11
437,2583,127
438,2584,668
439,2584,53
440,2584,37
441,2585,192
442,2585,43
443,2593,382
444,2600,243
445,2601,275
446,2603,43
447,2605,32
448,2606,17
449,2609,145
450,2612,41
451,2612,112
452,2612,237
453,2616,76
454,2621,486
455,2621,177
456,2623,533
457,2626,462
458,2628,14
459,2629,60
460,2632,57
461,2635,60
462,2636,314
463,2638,88
464,2642,418
465,2644,36
466,2646,51
467,2646,434
468,2651,53
469,2651,70
470,2657,198
471,2657,349
472,2660,133
473,2664,47
474,2664,162
475,2669,547
476,2674,116
477,2676,122
478,2681,212
479,2681,56
480,2682,4
481,2683,72
482,2744,105
483,2751,180
484,2755,78
485,2756,198
486,2757,39
487,2760,359
488,2763,83
489,2763,95
490,2766,144
491,2766,85
492,2770,1953
493,2773,182
494,2773,72
495,2779,7
496,2781,147
497,2782,759
498,2784,74
499,2784,963
500,2784,278
501,2787,12
502,2787,5
503,2789,41
504,2792,19
505,2792,500
506,2796,279
507,2796,161
508,2797,368
509,2797,315
510,2798,93
511,2799,62
512,2803,124
513,2809,122
514,2809,13
515,2811,130
516,2811,63
517,2811,32
518,2812,21
519,2822,162
520,2824,3
521,2825,158
522,2826,15
523,2831,1196
524,2832,330
525,2833,193
526,2836,398
527,2836,36
528,2837,2108
529,2837,35
530,2842,72
531,2842,49
532,2848,221
533,2848,88
534,2850,112
535,2858,103
536,2862,4
537,2864,107
